p,q,theta,mu,rhoA0,rhoA,rhoB,rho
100,1500,0.1,0.025,1.0,1.0,0.9999999999999997,0.9999999999999998
100,1500,0.2,0.025,0.0,0.0,0.0,0.0
100,1500,0.2,0.025,0.025,0.025057555893570636,5.265746534654942e-12,0.012528777949418191
100,1500,0.2,0.025,0.05,0.05225749766891757,8.33755103305664e-11,0.026128748876146538
100,1500,0.2,0.025,0.07500000000000001,0.9999999999999998,6.724129615334759e-05,0.5000336206480765
100,1500,0.2,0.025,0.1,0.9999999999999997,6.723841676262172e-05,0.5000336192083812
100,1500,0.2,0.025,0.125,0.9999999999999997,6.723636777033838e-05,0.500033618183885
100,1500,0.2,0.025,0.15000000000000002,0.9999999999999997,6.724370331923302e-05,0.5000336218516594
100,1500,0.2,0.025,0.17500000000000002,0.9999999999999998,6.724659105815542e-05,0.5000336232955289
100,1500,0.2,0.025,0.2,0.9999999999999998,6.723568532035376e-05,0.5000336178426601
100,1500,0.2,0.025,0.225,0.9999999999999998,6.723688413705524e-05,0.5000336184420684
100,1500,0.2,0.025,0.25,0.9999999999999998,6.72385297711734e-05,0.5000336192648854
100,1500,0.2,0.025,0.275,0.9999999999999998,6.724049740436997e-05,0.5000336202487021
100,1500,0.2,0.025,0.30000000000000004,0.9999999999999998,6.724240852272656e-05,0.5000336212042612
100,1500,0.2,0.025,0.325,0.9999999999999998,6.724397858222013e-05,0.500033621989291
100,1500,0.2,0.025,0.35000000000000003,0.9999999999999998,6.724510710354155e-05,0.5000336225535517
100,1500,0.2,0.025,0.375,0.9999999999999998,6.724583597216517e-05,0.5000336229179859
100,1500,0.2,0.025,0.4,0.9999999999999998,6.724626752927263e-05,0.5000336231337645
100,1500,0.2,0.025,0.42500000000000004,0.9999999999999998,6.724650518487096e-05,0.5000336232525924
100,1500,0.2,0.025,0.45,0.9999999999999998,6.724662818296933e-05,0.5000336233140914
100,1500,0.2,0.025,0.47500000000000003,0.9999999999999998,6.724668854276099e-05,0.5000336233442713
100,1500,0.2,0.025,0.5,0.9999999999999998,6.723395302925306e-05,0.5000336169765145
100,1500,0.2,0.025,0.525,0.9999999999999998,6.723494812626908e-05,0.500033617474063
100,1500,0.2,0.025,0.55,0.9999999999999998,6.723543591682311e-05,0.5000336177179583
100,1500,0.2,0.025,0.5750000000000001,0.9999999999999998,6.723572140087539e-05,0.5000336178607003
100,1500,0.2,0.025,0.6000000000000001,0.9999999999999999,6.723594278424616e-05,0.5000336179713921
100,1500,0.2,0.025,0.625,0.9999999999999999,6.723616044394973e-05,0.500033618080222
100,1500,0.2,0.025,0.65,0.9999999999999999,6.723640087024731e-05,0.500033618200435
100,1500,0.2,0.025,0.675,0.9999999999999999,6.723667687613711e-05,0.5000336183384381
100,1500,0.2,0.025,0.7000000000000001,0.9999999999999999,6.723699627285443e-05,0.5000336184981363
100,1500,0.2,0.025,0.7250000000000001,0.9999999999999999,6.72373653498395e-05,0.5000336186826748
100,1500,0.2,0.025,0.75,0.9999999999999999,6.72377901818976e-05,0.5000336188950909
100,1500,0.2,0.025,0.775,0.9999999999999999,6.72382770932492e-05,0.5000336191385466
100,1500,0.2,0.025,0.8,1.0,6.723883281879834e-05,0.5000336194164094
100,1500,0.2,0.025,0.8250000000000001,1.0,6.723946456530045e-05,0.5000336197322827
100,1500,0.2,0.025,0.8500000000000001,1.0,6.724018004244009e-05,0.5000336200900212
100,1500,0.2,0.025,0.875,1.0,6.72409874860404e-05,0.500033620493743
100,1500,0.2,0.025,0.9,1.0,6.724189567989335e-05,0.50003362094784
100,1500,0.2,0.025,0.925,1.0,6.724291397800781e-05,0.500033621456989
100,1500,0.2,0.025,0.9500000000000001,1.0,6.724405232781113e-05,0.5000336220261639
100,1500,0.2,0.025,0.9750000000000001,1.0,6.724532129455274e-05,0.5000336226606473
100,1500,0.2,0.025,1.0,1.0,6.723509066790826e-05,0.5000336175453339
100,1500,0.30000000000000004,0.025,0.0,0.0,0.0,0.0
100,1500,0.30000000000000004,0.025,0.025,0.02500004796345717,2.34604246864001e-16,0.012500023981728703
100,1500,0.30000000000000004,0.025,0.05,0.0500064592402799,3.675734236407836e-15,0.02500322962014179
100,1500,0.30000000000000004,0.025,0.07500000000000001,0.07511879513983075,2.1139056130462386e-14,0.03755939756992594
100,1500,0.30000000000000004,0.025,0.1,0.10093903497212495,8.075600772725964e-14,0.05046951748610285
100,1500,0.30000000000000004,0.025,0.125,0.13011663138147922,2.706509140696e-13,0.06505831569087493
100,1500,0.30000000000000004,0.025,0.15000000000000002,0.9999999999999997,5.866851321048876e-08,0.5000000293342565
100,1500,0.30000000000000004,0.025,0.17500000000000002,0.9999999999999998,5.866851325279047e-08,0.5000000293342565
100,1500,0.30000000000000004,0.025,0.2,0.9999999999999998,5.8668049061306013e-08,0.5000000293340244
100,1500,0.30000000000000004,0.025,0.225,0.9999999999999998,5.866851309793893e-08,0.5000000293342565
100,1500,0.30000000000000004,0.025,0.25,0.9999999999999998,5.8668071006187495e-08,0.5000000293340354
100,1500,0.30000000000000004,0.025,0.275,0.9999999999999998,5.866844481397647e-08,0.5000000293342223
100,1500,0.30000000000000004,0.025,0.30000000000000004,0.9999999999999998,5.86685097503167e-08,0.5000000293342548
100,1500,0.30000000000000004,0.025,0.325,0.9999999999999998,5.8668513183789435e-08,0.5000000293342565
100,1500,0.30000000000000004,0.025,0.35000000000000003,0.9999999999999998,5.866769513217748e-08,0.5000000293338475
100,1500,0.30000000000000004,0.025,0.375,0.9999999999999998,5.866788259408014e-08,0.5000000293339412
100,1500,0.30000000000000004,0.025,0.4,0.9999999999999998,5.866803438853263e-08,0.5000000293340171
100,1500,0.30000000000000004,0.025,0.42500000000000004,0.9999999999999998,5.866818060997231e-08,0.5000000293340902
100,1500,0.30000000000000004,0.025,0.45,0.9999999999999998,5.8668301443732887e-08,0.5000000293341507
100,1500,0.30000000000000004,0.025,0.47500000000000003,0.9999999999999998,5.8668388930948836e-08,0.5000000293341944
100,1500,0.30000000000000004,0.025,0.5,0.9999999999999998,5.8668445596826455e-08,0.5000000293342227
100,1500,0.30000000000000004,0.025,0.525,0.9999999999999998,5.86684789657947e-08,0.5000000293342394
100,1500,0.30000000000000004,0.025,0.55,0.9999999999999998,5.8668497033922726e-08,0.5000000293342484
100,1500,0.30000000000000004,0.025,0.5750000000000001,0.9999999999999998,5.8668506091023877e-08,0.5000000293342529
100,1500,0.30000000000000004,0.025,0.6000000000000001,0.9999999999999999,5.866851030694648e-08,0.5000000293342551
100,1500,0.30000000000000004,0.025,0.625,0.9999999999999999,5.866851212942144e-08,0.500000029334256
100,1500,0.30000000000000004,0.025,0.65,0.9999999999999999,5.8668512859501706e-08,0.5000000293342564
100,1500,0.30000000000000004,0.025,0.675,0.9999999999999999,5.866851312953689e-08,0.5000000293342565
100,1500,0.30000000000000004,0.025,0.7000000000000001,0.9999999999999999,5.8668513221363175e-08,0.5000000293342566
100,1500,0.30000000000000004,0.025,0.7250000000000001,0.9999999999999999,5.866851325002634e-08,0.5000000293342566
100,1500,0.30000000000000004,0.025,0.75,0.9999999999999999,5.866754924891071e-08,0.5000000293337745
100,1500,0.30000000000000004,0.025,0.775,0.9999999999999999,5.8667706050683e-08,0.500000029333853
100,1500,0.30000000000000004,0.025,0.8,1.0,5.8667772700412146e-08,0.5000000293338863
100,1500,0.30000000000000004,0.025,0.8250000000000001,1.0,5.866782500883866e-08,0.5000000293339125
100,1500,0.30000000000000004,0.025,0.8500000000000001,1.0,5.866788212094756e-08,0.500000029333941
100,1500,0.30000000000000004,0.025,0.875,1.0,5.866794923957024e-08,0.5000000293339746
100,1500,0.30000000000000004,0.025,0.9,1.0,5.866802872011613e-08,0.5000000293340143
100,1500,0.30000000000000004,0.025,0.925,1.0,5.8668122573979706e-08,0.5000000293340613
100,1500,0.30000000000000004,0.025,0.9500000000000001,1.0,5.866823296276515e-08,0.5000000293341165
100,1500,0.30000000000000004,0.025,0.9750000000000001,1.0,5.866836229499791e-08,0.5000000293341812
100,1500,0.30000000000000004,0.025,1.0,1.0,5.866757845186769e-08,0.5000000293337892
100,1500,0.4,0.025,0.0,0.0,0.0,0.0
100,1500,0.4,0.025,0.025,0.025000000092533958,2.017152310496959e-18,0.01250000004626698
100,1500,0.4,0.025,0.05,0.05000002566817756,1.434929604332889e-17,0.025000012834088786
